model,k-shot,target,scope_id,kw_context,vl_propform,acc_mean,prec_mean,rec_mean,f1_mean,var_by_acc,var_by_f1
LLaMA,10,Able2,5,0,0,0.79,0.851,0.79,0.775,0.0074,0.010637
LLaMA,10,Able2,3,0,0,0.76,0.806,0.76,0.75,0.0014,0.00209
LLaMA,10,Able2,1,0,0,0.68,0.773,0.68,0.638,0.0086,0.018656
LLaMA,10,Able_i,1,0,0,0.79,0.817,0.79,0.783,0.0034,0.004585
LLaMA,10,Able_i,2,0,0,0.78,0.82,0.78,0.771,0.0026,0.00366
LLaMA,10,Able_i,4,0,0,0.76,0.812,0.76,0.747,0.0024,0.003911
LLaMA,10,Able_i,3,0,0,0.67,0.717,0.67,0.653,0.0016,0.002369
LLaMA,10,Adv0,2,0,0,0.86,0.879,0.86,0.858,0.0004,0.000416
LLaMA,10,Adv0,1,0,0,0.62,0.631,0.62,0.611,0.0016,0.001875
LLaMA,10,Adv1,2,0,0,0.65,0.706,0.65,0.628,0.001,0.00101
LLaMA,10,Adv1,1,0,0,0.41,0.368,0.41,0.36,0.0054,0.006003
LLaMA,10,Anti,1,0,0,0.73,0.811,0.73,0.707,0.0046,0.007709
LLaMA,10,Anti,2,0,0,0.71,0.802,0.71,0.683,0.0034,0.005955
LLaMA,10,Anti,3,0,0,0.63,0.716,0.63,0.589,0.0026,0.008934
LLaMA,10,Bon,3,0,0,0.61,0.553,0.61,0.525,0.0124,0.031009
LLaMA,10,Bon,1,0,0,0.54,0.478,0.54,0.45,0.0034,0.010694
LLaMA,10,Bon,2,0,0,0.51,0.416,0.51,0.432,0.0074,0.016886
LLaMA,10,Cap,1,0,0,0.77,0.844,0.77,0.747,0.0116,0.018264
LLaMA,10,Cap,2,0,0,0.71,0.818,0.71,0.667,0.0144,0.025549
LLaMA,10,Cap,3,0,0,0.69,0.779,0.69,0.66,0.0024,0.005501
LLaMA,10,Caus,4,0,0,0.59,0.715,0.59,0.526,0.0014,0.006949
LLaMA,10,Caus,1,0,0,0.49,0.339,0.49,0.387,0.0004,0.004788
LLaMA,10,Caus,2,0,0,0.48,0.386,0.48,0.396,0.0006,0.004568
LLaMA,10,Caus,3,0,0,0.46,0.324,0.46,0.351,0.0024,0.002035
LLaMA,10,Colloc_préposition,1,0,0,0.65,0.732,0.65,0.612,0.004,0.006704
LLaMA,10,Collocation_verbale,1,0,0,0.59,0.688,0.59,0.535,0.0014,0.007419
LLaMA,10,Contr,3,0,0,0.6,0.539,0.6,0.517,0.012,0.030539
LLaMA,10,Contr,2,0,0,0.57,0.425,0.57,0.468,0.0076,0.027418
LLaMA,10,Contr,1,0,0,0.53,0.476,0.53,0.433,0.0016,0.008921
LLaMA,10,Conv-ij,2,0,0,0.69,0.78,0.69,0.655,0.0054,0.012882
LLaMA,10,Conv-ij,1,0,0,0.59,0.575,0.59,0.557,0.0134,0.022961
LLaMA,10,Conv-ij,3,0,0,0.55,0.639,0.55,0.491,0.001,0.003924
LLaMA,10,Dérivation_adjectivale,1,0,0,0.82,0.865,0.82,0.811,0.0046,0.006132
LLaMA,10,Dérivation_adverbiale,1,0,0,0.82,0.838,0.82,0.818,0.0016,0.001548
LLaMA,10,Dérivation_nominale,1,0,0,0.56,0.621,0.56,0.527,0.0044,0.003877
LLaMA,10,Dérivation_verbale,1,0,0,0.76,0.826,0.76,0.747,0.0004,0.000513
LLaMA,10,Epit,1,0,0,0.64,0.776,0.64,0.584,0.0034,0.007702
LLaMA,10,Epit,2,0,0,0.63,0.782,0.63,0.559,0.0086,0.018103
LLaMA,10,Epit,3,0,0,0.6,0.725,0.6,0.531,0.004,0.010507
LLaMA,10,Equip,2,0,0,0.72,0.801,0.72,0.689,0.0136,0.019845
LLaMA,10,Equip,1,0,0,0.67,0.747,0.67,0.647,0.0006,0.000644
